StageI.1	StageI.2	StageI.3	StageII.1	StageII.2	StageII.3	StageII.4	StageIII.1	StageIII.2	StageIII.3
ABC_01	6.410	6.117	6.573	8.124	7.474	7.616	7.418	6.678	6.445	6.328
ABC_03	6.883	6.860	7.020	7.173	7.860	7.511	7.036	6.641	6.499	6.733
ABC_07	5.845	6.430	6.829	7.482	7.488	7.993	7.793	6.935	6.423	6.110
QZZ_34	7.028	6.804	6.946	7.972	7.639	7.453	7.845	8.612	9.394	9.145
QZZ_35	6.622	7.409	7.141	8.312	8.039	7.852	7.779	9.449	8.341	8.905
Fib_00	6.799	6.483	6.824	6.851	6.204	6.977	6.320	5.096	5.271	5.294
Fib_10	6.312	6.412	7.222	5.854	5.917	6.573	6.368	5.703	5.361	5.585
Fib_11	6.902	7.058	6.700	6.691	5.871	6.456	6.452	5.289	5.215	4.877
Fib_13	5.739	5.323	5.699	6.355	6.732	6.045	6.384	8.472	8.138	8.558
Fib_23	5.367	5.166	5.253	6.345	6.683	6.300	6.473	8.619	8.634	8.469
AZG_up	14.236	14.415	14.153	14.990	14.418	14.941	14.836	13.341	12.874	12.959
AZG_do	14.611	14.627	14.891	15.174	15.113	14.929	15.314	13.168	13.568	13.038
QQP	10.880	11.169	11.120	11.199	11.021	11.355	11.286	10.560	10.649	11.077
QRP	10.433	10.291	9.993	10.943	11.245	10.836	11.107	11.406	11.439	11.334
BBQ_8	10.437	10.342	10.479	11.888	12.008	12.214	12.103	10.769	10.956	10.437
BBQ_9	10.002	10.507	10.259	11.677	11.866	12.107	11.941	11.174	11.136	11.411
AWK_91	11.442	11.356	11.861	11.983	11.710	11.801	12.297	11.218	11.354	11.156
AWK_99	10.223	10.354	11.155	12.236	11.843	11.589	11.382	11.103	11.382	11.406
AWK_101	10.774	10.280	11.118	12.306	12.298	12.237	11.784	11.036	11.335	11.197
AWK_209	10.514	10.663	10.790	12.042	11.702	12.008	11.666	11.404	11.158	11.283
