Confirmed	Recovered	Dead	PM2.5
Albania	554.7	368.1	12.6	22.00
Austria	1936.8	1816.0	76.6	12.17
Belgium	5261.7	1454.2	845.8	12.52
Bosnia.and.Herzegovina	914.6	650.4	49.6	34.58
Bulgaria	477.3	254.9	25.1	25.49
Croatia	551.2	523.3	26.2	19.09
Czechia	947.1	686.6	31.1	14.45
Denmark	2141.8	1947.4	103.1	9.60
Estonia	1494.5	1299.9	52.2	6.15
Finland	1288.1	1123.6	59.1	5.63
France	2900.6	1092.3	439.5	12.34
Germany	2263.2	2082.4	106.2	11.01
Greece	292.1	128.1	17.2	22.50
Hungary	417.2	254.4	57.6	14.57
Iceland	5119.2	5079.6	28.3	5.55
Ireland	5217.1	4676.6	351.5	10.69
Italy	3926.6	2929.1	568.8	17.09
Kosovo	805.3	516.4	17.9	23.50
Latvia	569.4	438.6	14.5	13.30
Lithuania	635.6	512.3	27.2	14.49
Moldova	3350.1	1916.0	115.9	20.00
Netherlands	2852.7	10.8	353.1	10.91
North.Macedonia	1995.7	827.2	92.7	32.40
Norway	1627.1	1531.3	45.5	6.88
Poland	784.3	378.7	33.1	18.67
Portugal	3602.1	2222.6	147.8	9.26
Romania	1138.2	812.2	73.3	18.32
Russia	3713.3	1965.8	49.0	9.85
Serbia	1771.2	1655.8	36.5	23.30
Slovakia	284.9	258.9	5.1	16.10
Slovenia	723.6	657.4	52.7	17.00
Spain	5224.5	3218.4	580.8	9.74
Sweden	5144.4	0.0	480.3	6.63
Switzerland	3655.4	3393.4	227.7	10.89
United.Kingdom	4486.7	19.3	629.0	10.53
