R.1	R.2	R.3	R.4	R.5	R.6	G.1	G.2	G.3	G.4	G.5	G.6
gen.001	2.680670382	1.317003585	2.097830934	2.155727093	2.394329618	1.796606289	3.630957745	3.739943632	3.445892627	3.64364747	3.876451966	3.452070369
gen.002	4.384179089	3.642265038	3.935389496	3.780122835	4.44600597	3.940015414	5.801292461	6.00854925	5.576546088	4.342391336	5.66573796	5.502788341
gen.003	0.15621629	0.688682806	0.798433237	0.694927055	0.85631348	1.308906465	4.845057002	2.807616066	4.258743853	4.024508608	4.072795956	4.689867647
gen.004	4.900256509	3.772259116	4.144164574	3.986936245	4.091094989	4.55865371	4.452591848	4.069241537	4.420450874	4.061024821	4.390478476	3.809749625
gen.005	3.566773567	3.916594788	4.238229632	4.300295824	4.140857992	3.673825641	7.616798843	6.796647785	6.60363084	7.090200274	6.462617097	6.764509084
gen.006	3.550682332	4.288649176	3.660507228	3.568163958	3.942557452	4.360556669	4.697073119	4.160955551	3.622110636	3.269113005	4.22236577	4.322069127
gen.007	4.074535933	4.183728162	3.90341621	4.023742359	4.471408157	4.679897312	4.32239825	3.486534534	3.716262096	3.438193754	3.757864089	4.331968977
gen.008	2.59288442	3.891927071	2.727826149	2.2410373	2.385502575	2.777736945	4.245194087	3.826058001	3.675243316	3.275619302	4.504412583	3.666359827
gen.009	3.686870069	4.465770427	4.639274731	3.710175302	3.633064363	4.500798478	4.59737431	4.556658506	4.651415348	3.856871682	2.299463186	4.775601166
gen.010	3.8428666	3.080932866	3.95616804	4.066500547	4.576130788	3.920199798	4.433504965	3.394822225	4.268413487	4.151156883	4.208807478	3.411968474
gen.011	4.184710416	4.635911874	4.115715011	4.483598797	4.096623012	3.463161657	4.875816113	4.371003352	4.152799089	3.978516598	3.870646548	3.925115617
gen.012	4.068584995	3.527097998	4.600039129	3.606139909	4.458850309	4.269120051	5.070411599	4.352517304	4.564691618	4.619097591	3.671265982	4.660093065
gen.013	3.493036285	3.035180736	3.856114528	3.874242462	4.033166998	4.421759978	4.735174073	5.380155883	5.288477112	4.935885911	4.90121711	5.051769179
gen.014	2.921116457	4.057365241	4.985037332	4.559010687	3.889346896	3.746706862	4.917416401	4.255774921	4.221015171	4.594418452	3.957473165	4.207805897
gen.015	4.743243618	5.045314093	3.957281034	4.836873824	4.175608648	4.345635272	4.084336307	3.351523456	4.295818268	3.817498519	4.754873781	3.60744276
gen.016	3.962346351	4.003385026	3.660554977	3.738628844	3.752128019	3.544925231	3.542894784	4.666361757	3.815617002	3.564374775	3.903454864	3.567886562
gen.017	4.793816071	4.180866664	4.448402488	4.217898446	4.89470177	3.277906682	4.094441361	4.142052841	3.68388579	3.854200041	3.570160298	4.030867682
gen.018	4.674633611	3.520173333	2.857210812	4.050748099	4.103999014	4.214957936	5.119096851	3.574790763	4.565996743	4.917830221	4.328069518	3.973462081
gen.019	4.414704573	4.141495207	3.823780854	4.031403715	3.71792306	3.688543539	5.240205165	4.732336503	4.707326535	4.147517198	4.436240271	2.886451067
gen.020	4.293269977	3.43458306	3.759324965	2.749590304	3.664541974	4.549325705	4.095142241	4.013943691	4.484332077	4.872641976	3.81520773	3.546773779
gen.021	3.468777787	4.955869837	4.320470122	2.899320417	4.958739292	4.28472698	6.133064363	5.969382601	6.41512027	6.851243443	7.12406798	6.608732934
gen.022	3.873334104	3.644041964	4.039379984	4.393912387	3.948252025	3.459882929	3.96073484	3.891070956	3.460567324	4.27702356	4.807181095	3.758035756
gen.023	4.312525117	3.476780204	4.217478373	5.027297003	3.93878248	3.64137487	4.031519107	4.00120508	3.62155016	3.278663836	3.123115231	3.828331738
gen.024	4.71056661	4.066269195	4.061487526	3.07843403	3.680515543	4.327785301	4.212318128	4.226977477	3.574625917	4.530953912	3.121866949	2.726489139
gen.025	3.282647423	4.652310064	4.968539098	4.109908456	3.76945503	4.356993723	4.602956334	4.046559308	4.867598828	4.332923946	3.561404138	3.061164999
gen.026	4.287926696	3.860096977	4.12579676	4.006598384	3.161882442	4.06958885	3.86700459	5.080061338	4.379367293	4.080226528	4.248996912	3.887151034
gen.027	4.310110977	3.960427886	3.611903831	3.881729309	3.314270553	3.481649411	4.228802719	3.828413024	4.259574904	3.846880314	3.497682666	3.708363703
gen.028	3.70171757	4.014249508	4.270181886	3.592162112	4.097792281	4.847139745	4.01853607	4.406399181	3.990417905	3.330370883	4.448173978	4.314806812
gen.029	3.646943252	4.380847496	4.924087544	4.170695102	3.993057713	3.399725539	4.43456339	3.285632839	4.264225264	4.146399088	4.350802907	3.906881953
gen.030	3.84178146	3.914771251	4.347629907	3.525600742	4.20414177	4.458559271	4.01367539	3.695111228	4.682025529	3.955207386	3.446033598	3.858544584
gen.031	4.192061407	4.505878006	4.22202812	3.906999051	4.051824713	3.723778501	4.081699341	3.683325314	4.496459052	4.594961875	4.095921564	3.37825919
gen.032	4.800221187	4.527270458	3.590398829	3.820153676	3.912170097	4.190209448	3.462480673	3.88746481	3.721101176	3.732028755	4.338867494	3.67746021
gen.033	4.255251962	3.679295115	3.543243803	3.834404889	3.213384854	3.885541229	3.206722805	4.228250201	4.178989694	3.693266091	3.802078037	3.42734803
gen.034	1.545829438	1.120072231	1.371002956	1.749820005	1.219043444	1.918384616	4.255164423	3.630305183	4.646355147	4.27702356	3.807567974	3.413189471
gen.035	4.110221663	4.444356374	4.589408273	3.259171091	4.814879968	4.14651846	3.718909294	5.481239451	4.837185326	4.019913955	4.934851414	3.897329417
gen.036	3.917680498	3.894515099	4.017464572	3.571210765	3.898540182	4.557940893	4.589177489	3.400197339	3.207259407	3.880037649	2.97521775	3.48957111
gen.037	3.912441808	3.630907723	3.944520823	4.538407221	3.149792984	4.62232175	4.536633706	4.338193331	3.657659373	3.45053446	3.476118546	3.460841309
